address,district,area,bedrooms,garage,type,rent,total,area_z,bedrooms_z,garage_z,standard_score,high_standard,standard_score_type,high_standard_type
Rua São Venceslau,Vila Guarani (z Sul),53,2,1,Apartamento,1900,2774,-0.4308289811096688,0.03257732861801848,-0.05536504964913233,-0.45361670214078265,0,-0.41836285193232164,0
Rua Doutor Cesário Mota Júnior,Vila Buarque,30,1,0,Studio e kitnet,1350,1830,-0.74162472790489,-1.0421968680895024,-0.9385440628021179,-2.72236565879651,0,-0.7265256682089889,0
Avenida Deputado Emílio Carlos,Limão,49,2,1,Apartamento,1900,2359,-0.48488041533492465,0.03257732861801848,-0.05536504964913233,-0.5076681363660385,0,-0.4970726290628113,0
Rua Caio Prado,Consolação,24,1,0,Studio e kitnet,4300,4765,-0.8227018792427737,-1.0421968680895024,-0.9385440628021179,-2.8034428101343942,0,-1.3786246511084437,0
Avenida Joaquina Ramalho,Vila Guilherme,60,3,1,Apartamento,3000,3845,-0.336238971215471,1.1073515253255395,-0.05536504964913233,0.7157475044609362,0,0.9739146997954453,0
Rua Amandaú,Tucuruvi,35,2,0,Apartamento,2500,2976,-0.6740604351233201,0.03257732861801848,-0.9385440628021179,-1.5800271693074195,0,-1.8887252883086227,0
Rua Conselheiro Lafaiette,Mooca,45,2,0,Apartamento,2400,2993,-0.5389318495601805,0.03257732861801848,-0.9385440628021179,-1.4448985837442798,0,-1.6919508454823988,0
Rua Cardoso de Almeida,Perdizes,33,1,0,Apartamento,3000,4039,-0.7010861522359481,-1.0421968680895024,-0.9385440628021179,-2.6818270831275686,0,-3.182615618623278,0
Rua Leandro Dupré,Vila Clementino,15,1,0,Studio e kitnet,1000,1038,-0.9443176062495994,-1.0421968680895024,-0.9385440628021179,-2.92505853714122,0,-2.3567731254576256,0
Rua Leôncio da Costa Vieira,Jardim Piqueroby,41,2,0,Studio e kitnet,2900,3142,-0.5929832837854363,0.03257732861801848,-0.9385440628021179,-1.4989500179695359,0,5.349778892360485,1
Avenida Mascote,Vila Mascote,86,2,2,Apartamento,4800,5935,0.01509535124869203,0.03257732861801848,0.8278139635038533,0.8754866433705638,0,1.3471612486833155,0
